Portal,Job Role,Experience,Company,Job Description
naukri.com,Python Developer,Fresher,Native Infotect,"About the Role:
As a Python Developer, you will be responsible for designing, implementing, and managing web applications using Python. You will collaborate with our design and development teams to create robust and scalable web applications that meet our clients needs.
Key Responsibilities:
Develop custom web applications using Python.
Ensure high-performance and availability, and manage all technical aspects of the web applications.
Collaborate with designers, project managers, and clients to deliver high-quality projects.
Optimize web applications for speed, scalability, and security.
Troubleshoot and resolve web application issues and bugs.
Stay up-to-date with the latest web technologies and Python updates.
Requirements:
Proven work experience as a Python Developer.
Strong understanding of Python, Django, Flask, and related frameworks.
Experience with HTML, CSS, JavaScript, and front-end frameworks.
Familiarity with web application security and best practices.
Ability to manage projects and meet deadlines.
Excellent problem-solving skills and attention to detail.
Strong communication and teamwork skills.
Preferred Qualifications:
Experience with eCommerce platforms.
Knowledge of cloud services such as AWS, Google Cloud, or Azure.
Familiarity with version control systems like Git.
Understanding of RESTful APIs and microservices architecture.
Experience with database management (SQL and NoSQL).
What We Offer:
Competitive salary and benefits package.
Flexible working hours and remote work options.
Opportunities for professional growth and development.
A supportive and collaborative work environment.
The chance to work on diverse and challenging projects.
How to Apply:
If you are passionate about Python development and want to be part of a creative and forward-thinking team, we would love to hear from you! Please send your resume, portfolio, and a cover letter detailing your experience and why you would be a great fit for this role to [email protected] . Join us at Native Infotech and help us build innovative digital solutions that make a difference!
Role: Software Development - Other
Industry Type: IT Services & Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
Front endVersion controlGITNoSQLDjangoJavascriptHTMLweb application securitySQLPython"
naukri.com,Python Developer,Fresher,Quest Global Technologies,"Develop test automation framework Railway signalling validation
Develop scripts to automate Manual test cases to Automated execution of tests
Design & write Software Requirement specification and help architect in develop architecture diagram
Maintain the repository of the code developed and version controlears
Perform regression testing after new feature deliveries
Work Experience
Strong knowledge of Python libraries, IDE
Strong in coding , perform File operations, parsing of XML files, wrapper for API
Knowledge of client server applications
Good communication skills and stake holder management

Role: Software Development - Other
Industry Type: Engineering & Construction
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
automation frameworkAutomation testingManual testingCodingXMLRegression testingTest casesSignallingStakeholder managementPython"
naukri.com,Python Developer,Fresher,Bonami Software,"Required Skills:


Absolute clarity in OOP fundamentals and Data-Structures
Must have hands-on experience in Data Structure like List, Dict, Set, Strings, Lambda, etc
Knowledge of various Python Web Frameworks (Django, Flask, FastAPI, etc.)
Must have hands-on experience in working with RDBMS - SQL
Excellent written and verbal communication and presentation skills.

Roles and responsibilities:


Maintain and improve existing projects
Collaborate with the technical team to develop new features and troubleshoot issues
Lead projects to understand the requirements and distribute work to the technical team
Follow the project/task timelines and quality.
Role: Full Stack Developer
Industry Type: IT Services & Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development
Education
UG: B.Tech/B.E. in Any Specialization, B.Sc in Computers
Key Skills
Skills highlighted with ‘‘ are preferred keyskills
Software EngineeringDjangoPython
Data StructuresORMMachine LearningBackend DevelopmentBackend Programming LanguageData ScienceFull Stack DeveloperSoftware DevelopmentDjango FrameworkData AnalyticsWeb DevelopmentFlask"
naukri.com,Python Developer - Artificial Intelligence,Fresher,invio Digital Services India,"Tinvio is built around the idea that every merchant and supplier should be able to work smarter together. Through clean design, agile engineering, and genuine support, we unlock capabilities that make them more productive and profitable. The core product is a B2B transactions platform that helps small-medium merchants and suppliers manage orders, invoices, and payments through a chat-led user interface.

Tinvio designs, develops, and launches B2B Payment and Credit user experiences for merchant-supplier transactions across multiple countries in APAC. As we do this from scratch we have complete responsibility for each product : developing the backend, the front-end, the data science infrastructure, the network integrations, and then creating a local setup in each country with varying go-to-market strategies and scalable risk management.

We have a high-intensity, high-performance, pixel-perfect culture shaped by a founding team from investment banking, venture capital, and hypergrowth unicorns in the region. Up for a >
Come join our team of builders and enablers across APAC!

Backed by Sequoia, GFC, Partech, Appworks, MUFG Bank.

Position Overview :

We are seeking a talented Python Developer with robust SQL expertise to join our team. The ideal candidate will have at least 1 year of experience in Python development and a deep understanding of SQL databases. As a Python Developer, you will play a crucial role in developing and maintaining our software applications, ensuring seamless integration with SQL databases, and contributing to the enhancement of our systems.

Key Responsibilities :

Collaborate with cross-functional teams to design, develop, and maintain Python-based applications.
Write efficient, reusable, and scalable Python code.
Integrate Python applications with SQL databases, ensuring optimal performance and data integrity.
Develop SQL queries, stored procedures, and triggers for data manipulation and analysis.
Troubleshoot and debug issues related to Python code and SQL database queries.
Perform code reviews and provide constructive feedback to team members.
Stay updated on emerging technologies and best practices in Python development and SQL database management.
Requirements :
Bachelor's degree in Computer Science, Engineering, or a related field.
Minimum of 1 year of professional experience in Python development.
Proficiency in SQL, including experience with MySQL, PostgreSQL, or similar relational databases.
Solid understanding of object-oriented programming concepts.
Experience with web frameworks such as Django or Flask is a plus.
Strong problem-solving skills and attention to detail.
Excellent communication and collaboration abilities.
Benefits :
Competitive salary and benefits package.
Opportunity to work in a dynamic and collaborative environment.
Career growth and professional development opportunities.
Flexible work schedule and remote work options.
Location : - Any Location

Role: Full Stack Developer
Industry Type: IT Services & Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development
Education
UG: B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization
PG: Any Postgraduate
Doctorate: Doctorate Not Required
Key Skills
Skills highlighted with ‘‘ are preferred keyskills
Python
RDBMSOOPSPostgreSQLArtificial IntelligenceMySQLMachine LearningSQL"
naukri.com,Junior Python Developer,Fresher,RGB Webtech,"We are seeking a skilled and enthusiastic Python Developer to join our development team. The ideal candidate will have a strong background in Python programming, a passion for creating efficient and innovative solutions, and the ability to work collaboratively in a dynamic environment. As a Python Developer, you will contribute to the design, development, testing, and maintenance of various software projects.
Key Responsibilities:
Collaborate with cross-functional teams, including designers and other developers, to understand project requirements and translate them into functional software solutions.
Develop and maintain server-side logic using Python and related frameworks (Django, Flask, etc.).
Write clean, readable, and modular code that adheres to coding standards and best practices.
Design and implement databases, write optimized queries, and ensure data integrity.
Develop RESTful APIs to enable communication between different components of the software.
Implement efficient algorithms and data structures to achieve desired functionality and performance.
Troubleshoot and debug issues in Python code and software applications, and provide timely solutions.
Collaborate with the QA team to test and validate software functionalities.
Stay updated on the latest developments in Python programming and emerging technologies.
Participate in code reviews to maintain code quality and ensure consistency across the development team.
Continuously learn and adapt to new technologies, tools, and development methodologies.
Take ownership of projects and deliver high-quality software solutions within set deadlines.
Qualifications and Skills:
Bachelors degree in Computer Science, Software Engineering, or a related field (or equivalent work experience).
Proven experience as a Python Developer with a portfolio showcasing Python development projects.
Proficiency in Python programming and experience with one or more Python frameworks (Django, Flask, etc.).
Strong understanding of software development principles, data structures, and algorithms.
Familiarity with web development concepts (HTML, CSS, JavaScript) is a plus.
Knowledge of database management systems (e.g., PostgreSQL, MySQL) and SQL queries.
Experience with version control systems (e.g., Git) and collaborative coding workflows.
Ability to work collaboratively in a team environment, communicate effectively, and provide constructive feedback.
Problem-solving skills and the ability to debug and troubleshoot technical issues.
Benefit from invaluable mentorship provided by seasoned leaders.
Enjoy a vibrant atmosphere enriched with engaging games and activities.
Receive quarterly rewards as a token of recognition for your valuable contributions.
Immerse yourself in a creative and open culture that fosters innovation.
Full-time / Freelance / Part-time / Contract
A minimum duration of 6 months is mandatory.
In case of no prior experience, you have the option to apply for an internship.
Role: Back End Developer
Industry Type: IT Services & Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
Computer scienceCodingPostgresqlMySQLWeb developmentJavascriptData structuresHTMLInternshipPython"
naukri.com,Python Developer,Fresher,Thoughts2Binary,"Job Description: Good understanding of Python / Django / Flask tech stack with exposure to RDBMS. Understanding of OOPs and programming fundamentals. Should be able to write efficient algorithms to solve business problems. Should be flexible to cut across programming languages to solve a problem end to end and work with cross-stack dev team.

Should be ready to work in high availability and complex business systems, with readiness to learn and contribute each day.


Experience: 2 to 4 years


Location: Gurgaon


Qualification: BE / BTECH / MCA / MTECH in Computer Science or related stream


Competencies: Drive for results, Very High on Aptitude, ANALYTICALLY SHARP and EAGER to learn new technologies.


Job Responsibilities:

Passionate about programming
Ready to solve real world challenges with efficient coding using open source stack.
Drive for results, ANALYTICALLY SHARP and EAGER to learn new technologies.
Ready to work in challenging environment where technology is no bar
Learn and improvise on the fly as every day would be a new day/new challenges

Who you are:

Understanding project requirements as provided in the Design Documents and develop the application modules to meet the requirements
Work with developers and architects, to ensure bug free and timely delivery
Following coding best practices and guidelines.
Support live systems with enhancements, maintenance and/or bug fixes.
Conducting unit testing / implementing unit test cases.
Should be a PASSIONATE about work and delivering quality results.
Strong programming and problem solving skills.
Good understanding of OOPs / Python / Django and/or Flask
Knowledge of AWS serverless stack (Lambda, DynamoDB, SQS, S3) would be a value add
Knowledge of REST/JSON APIs and/or SOAP/XML webservices
Experience with Github and advanced Github features (good to have).


*Should be available to join within 30 days from the date of offer



Role: IT & Information Security - Other
Industry Type: IT Services & Consulting
Department: IT & Information Security
Employment Type: Full Time, Permanent
Role Category: IT & Information Security - Other
Education
UG: Any Graduate
Key Skills
Skills highlighted with ‘‘ are preferred keyskills
Application ProgrammingGithubProgrammingRest ApiSoftware Development
S3OOPSJSONSOAPAlgorithmsAws LambdaDjangoXMLRestful WebservicesAWSWeb ServicesFlaskPython"
naukri.com,Python Developer,Fresher,PION GLOBAL Pvt Ltd,"Immediate Joiners, Python Developers, Male Candidates Only, Experience 0 yr - 1Yr, Skills Python, Django, HTML, CSS, Location Bangalore, 2 round will face to face interview.
With Good Communication Skills, 9150728112
mangayarkarasi.m@growthgamut.com
Role: Full Stack Developer
Industry Type: IT Services & Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development
Education
UG: B.Tech/B.E. in Computers
PG: M.Tech in Computers, MCA in Computers
Key Skills
Skills highlighted with ‘‘ are preferred keyskills
DjangoPython
CSSHTML"
naukri.com,Python Software Developer,Fresher,Adhiran Infotech,"Coordinating with development teams to determine application requirements.
Writing scalable code using Python programming language.
Testing and debugging applications.
Developing back-end components.
Integrating user-facing elements using server-side logic.
Assessing and prioritizing client feature requests.
Integrating data storage solutions.
Coordinating with front-end developers.
Reprogramming existing databases to improve functionality.
What We Are Looking For

2 to 5 years of experience as a Python developer.
Experience in Azure
Expert knowledge of Python and related frameworks including Django or Flask.
A deep understanding of multi-process architecture and the threading limitations of Python.
Ability to integrate multiple data sources into a single system.
Strong Communication and Analytical skills
Ability to collaborate on projects and work independently when required.

You can apply through our website
Link: https://adhiraninfotech.com/career

Happy Applying with Adhiran Infotech



Role: Back End Developer
Industry Type: IT Services & Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development
Education
UG: Any Graduate
Key Skills
Skills highlighted with ‘‘ are preferred keyskills
DjangoPythonFlask
Python FrameworkAzure CloudPandasPython DevelopmentNumpy"
linkedin.com,Remote Python Solutions Developer ,Fresher,Turing.com,"Python Developer required! A top-tier US-based client is in search of Python Developers.

As a Python Developer, your primary duty will be conducting thorough code reviews and delivering actionable feedback alongside documentation. Collaboration with researchers and other stakeholders is crucial to maintaining project alignment.

Job Responsibilities

Use Python skills to address intricate problems
Collaborate with researchers to achieve business objectives
Code in Jupyter notebooks and document the process accordingly
Identify and rectify bugs in the codebase
Engage with researchers to comprehend requirements and share outcomes
Use your data skills to find answers to key business questions using datasets from places like Kaggle, the UN, and government sources.

Job Requirements

Open to applicants of all levels, from junior to industry experts.
Bachelor's degree in Engineering, Computer Science, or equivalent practical experience.
Proficient in the Python programming language for coding and debugging purposes.
Ability to handle intermediate-level Python coding tasks and grasp algorithmic concepts.
Excellent problem-solving skills, combined with exceptional reasoning and mathematical abilities.
Proficient in English with excellent communication skills to promote effective team collaboration.

Here's Why You Should Join Us

Collaborate with globally renowned experts and build a network tailored to your career aspirations.
Experience the flexibility of remote work while breaking away from traditional office setups.
Earn industry-standard salaries in USD.
Contribute to innovative projects pushing the boundaries of technology, keeping you at the forefront of advancements."
linkedin.com,Smalltalk Developer,Fresher,"Zensar Technologies · Maharashtra, India (On-site)","We are a technology consulting and services company with 11, 800+ associates in 33 global locations. More than 130 leading enterprises depend on our expertise to be more disruptive, agile and competitive. We focus on conceptualizing, designing, engineering, marketing, and managing digital products and experiences for high-growth companies looking to disrupt through innovation and velocity.

Zensar Technologies is an Equal Employment Opportunity (EEO) and Affirmative Action Employer, encouraging diversity in the workplace. Please be assured that we will consider all qualified applicants fairly, regardless of race, creed, color, ancestry, religion, sex, national origin, citizen status, age, sexual orientation, gender identity, disability, marital status, family medical leave status, or protected veterans’ status.

Zensar Is a Place Where You Are Free To Express Yourself In An Environment That Values Individuality, Nurtures Development And Is Mindful Of Wellbeing. We Put Our People And Customers At The Center Of Everything That We Do. Our Core Values Include

Putting people first
Client-centricity
Collaboration

Grow. Own. Achieve. Learn. with Zensar"
