Low-Code No-Code Platform,Job Site,Job Title,Company,Location(s),Experience,Role,Preferred Key Skills,Requirements (Job Description),Responsibilities,JD Link,No. of Vacancies,Salary Offered,,
Outsystems,indeed.com,Outsystems Developer,Arka Softwares,Jaipur,5 - 9 years,Outsystems Developer,• Proficiency in OutSystems 10/11. ,"• Knowledge of design principles and fundamentals of architecture.
• Understanding of performance engineering Knowledge of quality processes and estimation techniques.
• Basic understanding of project domain
• Ability to translate functional / nonfunctional requirements to systems requirements 
• Ability to design and code complex programs
• Ability to write test cases and scenarios based on the specifications
• Good understanding of SDLC and agile methodologies. 
• Awareness of latest technologies and trends Logical thinking and problem solving skills along with an ability to collaborate.","• Develop and maintain applications using OutSystems.
• Collaborate with stakeholders to understand business requirements.
• Design and implement robust, scalable solutions.
• Perform testing and debugging to ensure high-quality applications.
• Manage application deployment and maintenance.
• Create and update technical documentation.",https://in.indeed.com/viewjob?jk=51a402391b2b5c7d&tk=1i6p94fetkk3m872&from=serp&vjs=3,,,,
Outsystems,indeed.com,Outsystems Lead,Infosys,Bengaluru,5+ years,Outsystems Lead,Outsystems,"• At least 5 years of experience with Low Code Platform – OutSystems 
• At least 2 years of experience with designing and architecting solutions
• OutSystems Certified",,https://in.indeed.com/viewjob?jk=abdba80c98c3824b&tk=1i6p94fetkk3m872&from=serp&vjs=3,,,,
Outsystems,indeed.com,Specialist - Software Engineering,LTIMindtree,Mumbai,6 - 8 years,Specialist - Software Engineering,Outsystems,"• Outsystems administration and configuration in self-managed environments
• Installing and configuring Outsystems environments
• Working with Outsystems Service Studio, Service Center, and Lifetime Integration Studio
• Assessing applications for performance, architecture, and development best practices
• Translating business processes to technical requirements
• Analyzing, designing, developing, and implementing Outsystems applications
• Enforcing automated unit testing (TDD or BDD)
• Merging and deploying codes from Pre-Prod to Prod
• Preparing release notes for Prod deployment
• Bug fixing and hotfixing
• Troubleshooting and debugging applications
• Web applications project delivery and performance troubleshooting
• Architecture, Dashboard, and Integration Builder
• Agile methodology
• Proficiency in English (written and spoken)","• Guaranteeing project quality through design-time automated unit testing
• Preparing release notes for Prod deploymentAnalyzing, designing, developing, and implementing Outsystems applications
• Translating business processes to technical requirements
• Merging and deploying codes from Pre-Prod to Prod
• Troubleshooting and debugging applications
• Client communication and team mentoring
• Assessing applications for performance, architecture, and development best practices
• Enforcing automated unit testing (TDD or BDD)",,,,,
Outsystems,indeed.com,Senior Software Engineer,OutSystems,Bengaluru,5 - 8 years,Senior Software Engineer,"Outsystems
Kubernetes
GoLang","• Got a great experience in at least a high-level programming language (.Net Core, Java, Python, etc.); with a Bachelor or Master Degree in Software Engineering, Computer Science or similar;
• At least 2-3 years of experience working with Kubernetes environments
• Experience with Kubernetes Operators / Operator SDK
• Proficiency in GoLang implementation of operators
• Familiarity with AWS Cloud services implementation
• Knowledge of Git / version control systems
• Experience with unit, contract, and integration testing
• Familiarity with OpenShift
• Experience working on an Agile team
• You like to be the owner and strive to do work you're proud of, both technically and in your team interactions;
• You are able to inspire other people to work with you, and you enjoy mentoring and coaching, as well as learning from other engineers;
• You feel excitement toward building distributed, client/server systems, especially in the web application space; You enjoy crafting elegant and scalable solutions;
• You have a passion for solving multi-data center scalability problems;
• You've built, deployed, and supported backend asynchronous services;","• Get to work with cutting-edge technologies that are defining the future of the cloud;
• Team up with other engineers to foster solid engineering principles and represent our engineering values;
• Utilize both your technical and relational skills to lead large scale projects to completion;
• Collaborate, influence, and drive for improvement across scrum teams;
• Architect and implement new Cloud Services serving thousands of customers and millions of users;
• Develop and maintain applications using GoLang
• Navigate and manage Kubernetes environments, including Kubernetes Operators
• Work with AWS for deployment and management
• Collaborate with the development team to design and implement scalable solutions
• Troubleshoot and resolve issues related to GoLang applications and Kubernetes deployments
• Utilize version control systems, conduct testing (unit, contract, integration), and work within an Agile team environment
• Leverage OpenShift knowledge as needed",https://in.indeed.com/viewjob?jk=c52a362db6d9ee8c&tk=1i6pd0c5plrvs87f&from=serp&vjs=3,,,,https://www.linkedin.com/jobs/view/3931235196
Outsystems,linkedin,Outsystem Developer,Acme Services,Bengaluru,,Outsystems Developer,Outsystems,• Technical skills and competency of OutSystems architecture and general solution design.,"• Responsible for documenting, testing and deploying developed applications.
• Responsible for translating business requirements into viable and scalable applications, leveraging Outsystems capabilities.
• Responsible for identifying non-functional requirements, understands integration needs and common style guides across all OutSystems applications.
• Responsible for core development of Outsystems Web Applications and Mobile Apps in a fast paced environment.
• Responsible for integrating applications with existing tools used in the Organization.
• Work closely with the design team on creating the solution which improves.
• Working in an Agile Software development environment.",https://www.linkedin.com/jobs/view/3888473244,,,,
Outsystems,linkedin,OutSystems Developer,"Fusion Plus Solutions, Inc.",Hyderabad,5 - 8 years,OutSystems Developer,Outsystems,,"• Need an Outsystems professional to work on support project. 
• Having knowledge on SLA, 
• Incident management process, ticketing system and support procedures.",https://www.linkedin.com/jobs/view/3818377319,,,,
Outsystems,linkedin,Low Code Developer,Spring HR Services LLP,Navi Mumbai,3+ years,Low Code Developer,"Low-Code tools
Full stack development technologies","• You have relevant experience with low code platforms such as Outsystems, Power Apps, or Mendix. Or you have other proven development skills.
• Experience with relational database structure and design
• Experience with JavaScript, HTML5, and CSS3 - NET, Java, or comparable programming experience preferred
• Agile experience
• React experience a plus
• SCRUM certification a plus
• CI/CD pipeline tools like Jenkins and Visual Studio Team Services
• Experience with Docker
• Candidates should be flexible / willing to work across this delivery landscape which includes and not limited to Agile Applications Development, Support and Deployment.","• You will build dynamic applications using low code technologies (adapted from Java framework) that will drive our competitive differentiation in the market.
• You will implement pilot projects to drive disruptive ideas across the organization, using the learnings from these projects to inform decisions on whether to incorporate them as a portfolio project or to introduce them as a new proof of concept. 
• As a Low Code Developer, you develop state-of-the-art solutions using Low Code technology such as Outsystems and PowerApps.",,,,,
Outsystems,linkedin,Outsystem Developer,Tech Mahindra,"Bengaluru, Hyderabad",5 - 7 years,Outsystem Developer,Outsystems,"• Must have OutSystems 10 or OutSystems 11 certification, with one or more of the following certificates: Associate Web Developer, Associate Mobile Developer, Development Professional, or Technical Lead.
• Working experience using OutSystems
• University/undergraduate degree in Computer Science or a related discipline
• Minimum 3 plus years experience in OutSystem development projects
• Strong interpersonal skills
• Excellent written and verbal communications
Nice to have:
• Knowledge of Agile development best practices, and experience with project management tools such as JIRA and Confluence.","• Ability to rationalize decisions in a clear and objective manner
• Ability to juggle priorities simultaneously and manage time efficiently 
• Experience working with a distributed team spread across multiple-sites
• Technical understanding and exposure to a broad-range of technologies including, servers (virtualization, storage, operating systems, etc.), networking (firewalls, routing, load-balancers, etc.), application security (SSO authentication, role based access control, etc.)",https://www.linkedin.com/jobs/view/3920675834,,,,
Outsystems,linkedin,Outsystems developer ,Deloitte,Hyderabad,3 - 5 years / 5 - 9 years,Outsystems developer ,"OutSystems Associate Web, Mobile and Reactive developer","• Experience in developing at least 5 Enterprise grade products using OutSystems
• Expert in using Service Studio, Integration Studio, BPT and other OutSystems components
• Experience in Angular JS or React & JavaScript, HTML5, CSS, Bootstrap, SQL, RDBMS
• Experience in writing and utilizing RESTful API services and performance tuning large scale applications
• Develop integrations with external systems leveraging the APIs (REST/SOAP).
• Experience in developing product using Agile development methodologies
• Experience in business modelling and database concepts
• Understanding of Software NFRs, CI/CD & automated testing
• Conduct unit testing, integration testing and deliver on sprint backlogs","• Be a part of/leading a work stream or module on a large-scale project or overall delivery lead in case of short term/ small scale engagement. 
• Candidates should be able to demonstrate professional experience and knowledge, coupled with strong technical background to help define and execute/contribute to end-to-end cross-functional projects.",https://www.linkedin.com/jobs/view/3999086041,,,,
Outsystems,linkedin,Outsystems,Tata Consultancy Services,Pan India / Chennai,4 - 10 years,Outsystems,• C# and SQL languages,"Strong hands-on experience developing Outsystems web and mobile applications
 • Strong knowledge of C# and SQL languages
 • Proficiency in web-based languages, specifically JavaScript and CSS
 • Proven key individual contributor who has successfully delivered large products/projects on the platform
 • Experience using Agile methodologies and Scrum"," • Ability to apply both technical and business knowledge while participating in the full lifecycle development process
 • Ability to interpret business requirements and logically think through to developing technical solutions",https://www.linkedin.com/jobs/view/3980771802,,,,
Outsystems,linkedin,OutSystems,Hexaware Technologies,"Sydney, Australia","5 years of experience in OutSystems.
Overall 10+ Yrs. of Application development and architectural experience",OutSystems,OutSystems certification is mandatory.(Expert/Professional/Associate Web Developer).,"• Experience of developing web applications for large user bases using OutSystems 10 or 11.
• Experience in OutSystems web application development, such as data modeling, UI development, logic, screen lifecycle and web services integration.
• Must be able to understand the OutSystems architecture and develop according to best practices.
• should have end to end responsive web development experience, exposing and consuming SOAP and REST services.
• Breadth of experience across various platforms including Microsoft .NET and hands on coding in C#.
• Experience with OutSystems Integration, Component/Add-on's Development.
• Must have strong proficiency in web-based languages: JavaScript, CSS, HTML.
• Programming with databases: SQL Server, Oracle or MySQL.
• Good understanding of the SDLC and Agile and Lean delivery concepts and methodologies, with a demonstrable history of applying this knowledge.
• Solid background in architecture, application systems design and integration.
• Organizational skills, with the ability to work independently as well in a highly collaborative, team-based environment.
• Excellent written and verbal communication and presentation skills.",,https://www.linkedin.com/jobs/view/3999093008,,,,
Pegasystems,naukri.com,Business Advisory New Associate,Accenture,Chennai,0 - 1 year,Customer Onboarding - Non Voice,"• Banking Services - Core Banking
• Pega
• Pega prpc
• Business development
• Sales
• Marketing","• Address quality and productivity issues
• Keep pace with customer expectations, navigate regulatory and operational pressures and ensure business sustainability by transforming their banking operations into an agile, resilient operating model.
• Provide universal banking functionality to banks.","• In this role you are required to solve routine problems, largely through precedent and referral to general guidelines
• Your primary interaction is within your own team and your direct supervisor
• In this role you will be given detailed instructions on all tasks
• The decisions that you make impact your own work and are closely supervised
• You will be an individual contributor as a part of a team with a predetermined, narrow scope of work
• Please note that this role may require you to work in rotational shifts",https://www.naukri.com/job-listings-business-advisory-new-associate-accenture-solutions-pvt-ltd-chennai-0-to-1-years-240824913200?src=jobsearchDesk&sid=17253464014387887&xp=2&px=1,,,,
Pegasystems,naukri.com,Graduate Trainee Engineer,Siemens,Bengaluru,0 - 1 year,Front End Developer,"Business services
Training
Consulting
Siemens
Javascript
Programming
Pega
User acceptance testing
Object oriented programming
Corporate strategy","You have Any 2 Programming language Hands on experienceas per your previous Trainings.
• You have good knowledge about UI/UX.
• You have Hands on experience on working on projects.
• You understanding about Pega tool and know how pega canbe useful.
• You are willing to work on Pega Tool.
• You have Completed some basic level of Pega training.
• You are willing to work for any kind of Role(s) usingPega tool.
• You have excellent communication skills.
• You have sound Object Oriented Programming Skills, likeInheritance concepts.
• You have good knowledge about java Script.
• You have knowledge about React.","• As a key contributor to the Pega Nearshore Consulting team, you will workclosely with Customer and Pega Architects to develop high quality deliverablesacross all phases (inceptionthrough user acceptance testing)that allow our customers to enhance the way they manage their business.
• Pega is changing the way the world builds so ft ware. In this role, you ll help usdesign, develop, implement, and test the next generation of Pega products.
• This is your chance to get your hands-on leading customerand learning technology that figures out what people really care about.
• Actively participate in development and testing of the target industryframework(s) in Pega Infinity. Collaborate and team with Pega team remotely;continuously focus onCustomer Success.
• Ensure customersuccess by effectivelymanaging and delivering in different work environments by understanding thedynamics, timing, etc
• Partner with both the client and the business team todevelop high quality deliverables across all phases of a project, from participating in the requirements, design and build phases,delivering high-quality deliverables, through to user acceptance testing.
• Leverage your Educationalexperience to consult and influence the clients direction, in the pursuit of Pega best practices.
• Demonstrate yourcommitment to and enthusiasm for customer success by ensuring that thedelivered product is fully-functioning,performs to business requirements defined and approved by the client, and meetsor exceeds expectations.",https://www.naukri.com/job-listings-graduate-trainee-engineer-siemens-limited-bengaluru-0-to-1-years-130824502030?src=jobsearchDesk&sid=17253464014387887&xp=8&px=1,,,,
Pegasystems,naukri.com,Sr.Process Associate - Opportunity To Cash,Siemens,Bengaluru,0 - 2 years,"Non Tech Support - Voice / Blended (Customer Success, Service & Operations)",1-2 years experience in industry with relevant exposure.,"Order management
Relationship management
Business services
Process Associate
SAP
Sales
Process improvement
Billing
Pega","• Work within a team of O2C Analysts (onshore and offshore)tasked with delivering accurate invoices within SLA.
• Continual focus on process improvement initiatives ofbilling processes Order Management processes.
• Relationship Management - Ensure clear communication withkey data providers, internal and external customers is at the forefront ofdelivery.
• Be open about issues, what actions are taken, and the likelyresolution timeframe.
• Responsible for engaging with customers, internal partners,and other O2C resources to escalate and resolve issues for specific customersituations or root cause resolution.
• Develop a consistent approach to checking stock, fulfillingsales orders, and reordering to replenish stock.
• Sales Order Creation
• Purchase Order Creation",https://www.naukri.com/job-listings-sr-process-associate-opportunity-to-cash-siemens-limited-bengaluru-0-to-2-years-240124500084?src=jobsearchDesk&sid=17253464014387887&xp=9&px=1,,,,
Pegasystems,naukri.com,Banking Operations New Associate,Accenture,Chennai,0 - 1 year,Investment Banking Analyst,"banking operations
wholesale banking
core banking
agile
corporate banking","• Address quality and productivity issues
• Keep pace with customer expectations, navigate regulatory and operational pressures and ensure business sustainability by transforming their banking operations into an agile, resilient operating model.
• Provide universal banking functionality to banks.","• In this role you are required to solve routine problems, largely through precedent and referral to general guidelines
• Your primary interaction is within your own team and your direct supervisor
• In this role you will be given detailed instructions on all tasks
• The decisions that you make impact your own work and are closely supervised
• You will be an individual contributor as a part of a team with a predetermined, narrow scope of work
• Please note that this role may require you to work in rotational shifts",https://www.naukri.com/job-listings-banking-operations-new-associate-accenture-solutions-pvt-ltd-chennai-0-to-1-years-310824913649?src=jobsearchDesk&sid=17253464014387887&xp=11&px=1,,,,
Pegasystems,naukri.com,Pega Developer,CGI Information Systems And Management Consultants,Bengaluru,5 - 9 years,Software Development - Other,"Pega Development
pega cdh
Pega PRPC
Cssa Certified","Pega, SQL(basics-medium)","• candidate should have certification of pega csa and cssa
• pega cdh will be an advantage
• as we are working on pega cdh project
• pega prpc concepts also should be aware of",https://www.naukri.com/job-listings-pega-developer-cgi-information-systems-and-management-consultants-bengaluru-5-to-9-years-020924015779?src=cluster&sid=17253579128262497_1&xp=2&px=1,,6.5-13 Lacs P.A.,,
Pegasystems,naukri.com,Pega Developer,Capgemini,Gurugram,4 - 6 years,Back End Developer,Pega,"• Must have working knowledge of Pega Deployment experience/knowledge ( Deployment Architecture ) / Rules import & Export
• Should have working knowledge on single and multivariate circumstancing
• Should have working knowledge on Pega Authentication & Authorization , Authenticate using LDAP and implementing Single-Sign-On (SSO )
• Must have working knowledge on Performance Tuning ( PAL, Log Analyzer , DB Tracer/ Preflight)
• Should have working knowledge on Data Model (Data Tables, Data Pages , Advanced properties options, linked properties )
• Must have knowledge on Pega-RULES Agents like System Indexer, System Pulse and Reporting with expertise in BIX (Business Intelligence Exchange) is preferable",,https://www.naukri.com/job-listings-pega-developer-capgemini-technology-services-india-limited-gurugram-4-to-6-years-020924916767?src=jobsearchDesk&sid=17253579128262497_2&xp=6&px=1&nignbevent_src=jobsearchDeskGNB,,,,
Pegasystems,naukri.com,Pega Developer,Diverse Lynx,Chennai,2 - 7 years,Software Development - Other,"PRPC
Software development methodologies
CSS
Agile scrum
Scalability
Javascript
HTML
Pega
Budgeting
Troubleshooting",,"• A Pega Developer is responsible for designing, developing, and implementing applications using the Pega platform. The following are the key responsibilities of a Pega Developer:
• Participate in requirements gathering and analysis to understand business requirements and translate them into technical solutions.
• Design, build, and maintain high-quality Pega applications.
• Debug and troubleshoot technical issues and provide solutions.
• Collaborate with project teams and stakeholders to deliver projects on time and within budget.
• Ensure application performance, scalability, and security.
• Stay up-to-date with the latest Pega technologies and advancements.
• The ideal candidate for this role should have experience in Pega PRPC and a strong understanding of Java, JavaScript, HTML, and CSS.
• They should also have experience in software development methodologies such as Agile, Scrum, or Waterfall.
• Good communication, problem-solving, and teamwork skills are also important",https://www.naukri.com/job-listings-pega-developer-diverse-lynx-chennai-2-to-7-years-220823501360?src=jobsearchDesk&sid=17253579128262497_2&xp=15&px=1&nignbevent_src=jobsearchDeskGNB,,,,
Pegasystems,indeed.com,PEGA,Capgemini,Pune,6 - 8 years,,"PRPC CSSA certification for V8.7
• Graduate degree in Computer Science or related field
• Hands on experience in Pega v8.8","JVM, Session Management, Ajax in PRPC, Tracer, DB trace, MSSQL, Oracle
• PRPC Work Object Relationships, Specialization techniques, Rule Resolution / Inheritance / Circumstancing, Persistence, Agents, Functions / Java API, Services, Connectors, PRPC Multi-node architecture and caching
• Apache Tomcat, Web Sphere, server deployment, configuring & troubleshooting.
• REST / SOAP / XML
• Object oriented design and implementation
• SQL, UNIX, Oracle, Windows, Java, Shell scripting, Websphere, Middleware (MQ, DP, APIC)
• Automation tools like OpenSpan and Automation Anywhere","AS a PEGA Senior System Architect (CSSA) the person will be for architecting and Develop business process management applications using PEGA PRPC and Pega FS frameworks.
• Perform code reviews and ensure compliance with application quality, coding, including review alert logs, running pre-flight and PAL.
• Run sessions with business and IT teams and lead the effort in gathering and understanding requirements and use cases
• Facilitate the technical aspects of the solution by providing thought-leadership across business and technical project dimensions.
• Ensure the business and technical architecture of the delivered solution matches customer functional requirements, and commits to Customer Success.
• Expertise in developing various PRPC component",https://in.indeed.com/viewjob?jk=40d6745227b0b925&tk=1i6rmkmprjhrt860&from=serp&vjs=3,,,,
Pegasystems,indeed.com,Manager_Pega CSSA Developer _Pune_7+ yrs,Vodafone,Pune,7+ years,,,"• Demonstrates a good understanding of procedures and concepts through extensive experience and advices the execution of IT Development plans through the provision of advice and execution of administrative activities;
• Effectively interacts with colleagues through development activities enabling achievement of the IT strategy;
• Supports the team to deliver activities related, but not limited to development activities in line with the business brief and SLAs, resolving application domain challenges across the critical systems (e.g. Billing, CRM and Provisioning);
• Supports the team for the evaluation of Request for Proposal (RFPs) in project delivery. Ensures solving problems, analysis and interpretation of differing situations in order to identify, search and select the best solution;
• Uses communication skills to exchange ideas and information in a concise and logical way to provide technological support of demand management during concept and solution design phases and change requests;
• Maintains strong relations with relevant stakeholders, to include Architects, Solution Designers, project team and vendors;
• Performs other job-related duties or tasks defined by the supervisor or resulting from assigned agendas.","• The IT Development Specialist focuses upon the development of applications / products in line with the technology roadmap and standards.
• The IT Development Specialist delivers development of programme logic for new applications / products or analysis and modification of logic in existing applications (activities may also include elements of technical testing).
• Typically reports to the Senior IT Development Manager of the Head of Technology.",https://in.indeed.com/viewjob?jk=e87e353dcd8f726c&tk=1i6rmkmprjhrt860&from=serp&vjs=3,,,,
