Questions,Question,Category,Technology,Topic,Sub Topic,Type of Question,Are Qs Same?
What is collection ? ,What is a collection?,Tech,Java,Data Structures,Collections Framework,Theoretical,
What is hashmap? ,What is hashmap?,Tech,Java,Data Structures,HashMap,Theoretical,
What is String? ,What is String?,Tech,Java,Data Structures,String,Theoretical,
What is oops explain? ,What is oops explain?,Tech,Object-Oriented Design,Concepts,OOPs,Theoretical,
Explain jdk? ,Explain JDK?,Tech,Java,Programming Environment,JDK,Theoretical,
Why java is platform independent? ,Why Java is platform independent?,Tech,Java,Platform Independence,N/A,Theoretical,
WAP to sort an array? ,WAP to sort an array?,Tech,Programming Language,Algorithms and Sorting,Sorting Algorithms,Code Based,
How many interviews you appear? ,How many interviews did you appear for?,HR,N/A,Interview Experience,N/A,Theoretical,
Brief introduction?about yourself. ,Brief introduction about yourself.,HR,N/A,Personal Information,N/A,Theoretical,
Being a mechanical?background why are you looking for the IT industry? ,"Being a mechanical background, why are you looking for the IT industry?",HR,N/A,Career Transition,N/A,Theoretical,
Verification  ,Verification,HR,N/A,N/A,N/A,N/A,
Introduction ,Introduction,HR,N/A,N/A,N/A,N/A,
About project ,About project,HR,N/A,N/A,N/A,N/A,
JDK and jre ,JDK and JRE,Tech,Java,Java Development Kit,N/A,Theoretical,
Converting integer to string ,Converting integer to string,Tech,Java,Data Types,N/A,Code Based,
Java program to know if the given number is prime or not ,Java program to know if the given number is prime or not,Tech,Java,Algorithms,Prime Numbers,Code Based,
Types of inheritance ,Types of inheritance,Tech,Java,Object-Oriented Programming,Inheritance,Theoretical,
Difference between class and inheritance ,Difference between class and inheritance,Tech,Java,Object-Oriented Programming,Inheritance,Theoretical,
Palindrome number example ,Palindrome number example,Tech,Java,Algorithms,Palindrome,Code Based,
Java is dependent or independent ,Java is dependent or independent,Tech,Java,Java Platform,N/A,Theoretical,
Why to choose java? ,Why to choose Java?,Tech,Java,Language Selection,N/A,Theoretical,
Features of java? ,Features of Java?,Tech,Java,Language Features,N/A,Theoretical,
What is JVM? ,What is JVM?,Tech,Java,Virtual Machines,N/A,Theoretical,
What is polymorphism? ,What is polymorphism?,Tech,Java,Object-Oriented Concepts,Polymorphism,Theoretical,
Types of Polymorphism? ,Types of Polymorphism?,Tech,Java,Object-Oriented Concepts,Polymorphism,Theoretical,
How to do method overriding and overloading? ,How to do method overriding and overloading?,Tech,Java,Methods,"Overriding, Overloading",Theoretical,
What is Encapsulation with example? ,What is Encapsulation with an example?,Tech,Java,Object-Oriented Concepts,Encapsulation,Theoretical,
What is java 8 and types? ,What is Java 8 and types?,Tech,Java,Java 8 Features,N/A,Theoretical,
Difference between collection and collections? ,Difference between collection and collections?,Tech,Java,Collections Framework,N/A,Theoretical,
Difference between Arraylist and Hashmap? ,Difference between ArrayList and HashMap?,Tech,Java,Collections Framework,"ArrayList, HashMap",Theoretical,
Difference between hashmap and hashtable? ,Difference between hashmap and hashtable?,Tech,Java,Data Structures,Hashmap vs Hashtable,Theoretical,
Throw vs throws in Exceptional handling? ,Throw vs throws in Exceptional handling?,Tech,Java,Exception Handling,N/A,Theoretical,
Garbage collector concept? ,Garbage collector concept?,Tech,Java,Memory Management,Garbage Collector,Theoretical,
 String == vs .equals method difference? ,String == vs .equals method difference?,Tech,Java,Strings,N/A,Theoretical,
Features of spring? ,Features of spring?,Tech,Java,Spring Framework,Spring Features,Theoretical,
Difference between spring and spring boot? ,Difference between spring and spring boot?,Tech,Java,Spring Framework,Spring vs Spring Boot,Theoretical,
Spring components? ,Spring components?,Tech,Java,Spring Framework,Spring Components,Theoretical,
Spring boot module types? ,Spring boot module types?,Tech,Java,Spring Boot,Spring Boot Modules,Theoretical,
Configuration file in spring? ,Configuration file in spring?,Tech,Java,Spring Framework,Configuration in Spring,Theoretical,
IOC container? ,IOC container?,Tech,Java,Spring Framework,Inversion of Control Container,Theoretical,
Dependency injection and types? ,Dependency injection and types?,Tech,N/A,Software Development,N/A,Theoretical,
Bean scopes in Spring? ,Bean scopes in Spring?,Tech,Spring Framework,Spring,Bean Scopes,Theoretical,
SQL query to find number of employees whose salary greater than 25000? ,SQL query to find the number of employees whose salary is greater than 25000?,Tech,SQL,Database Management,N/A,Code Based,
 What is inheritance ,What is inheritance?,Tech,Java,Object-Oriented Programming,Inheritance,Theoretical,
What is an operator in java ,What is an operator in Java?,Tech,Java,Programming Language,Operators,Theoretical,
What is data abstraction with example ,What is data abstraction with an example?,Tech,N/A,Software Development,Abstraction,Theoretical,
Difference between array list and vector ,Difference between ArrayList and Vector?,Tech,Java,Data Structures,"ArrayList, Vector",Theoretical,
What is the advantage of spring boot over spring ,What is the advantage of Spring Boot over Spring?,Tech,Spring Boot,Spring Framework,N/A,Theoretical,
What is static polymorphism ,What is static polymorphism?,Tech,Java,Object-Oriented Programming,Polymorphism,Theoretical,
Method overriding / overloading ,Method overriding / overloading?,Tech,Java,Object-Oriented Programming,"Overriding, Overloading",Theoretical,
Multithreading ,Multithreading,Tech,Java,Multithreading,N/A,Theoretical,
1.why java  ,Method overloading function signature,Tech,Programming,Method Overloading,N/A,Theoretical,
2. Jvm ,JVM,Tech,Java,Virtual Machine,N/A,Theoretical,
3. Java concepts ,Java Concepts,Tech,Java,Programming Concepts,N/A,Theoretical,
4. What is oops ,What is OOPs?,Tech,Java,Object-Oriented Programming,N/A,Theoretical,
5. Inheritance? ,Inheritance,Tech,Java,Object-Oriented Programming,Inheritance,Theoretical,
6. Abstract? ,Abstract,Tech,Java,Object-Oriented Programming,Abstract Class,Theoretical,
7.what? is interface? ,What is Interface?,Tech,Java,Object-Oriented Programming,Interface,Theoretical,
8. Jdbc how is connected to java ,JDBC: How is it connected to Java?,Tech,Java,Database Connectivity,JDBC,Theoretical,
9. Spring boot annotations? ,Spring Boot Annotations,Tech,Spring Boot,Framework,Annotations,Theoretical,
10. Garbage collectors? ,Garbage collectors,Tech,Java,Memory Management,Garbage Collection,Theoretical,
"11. Final,finally ,finalise ","Final, finally, finalize",Tech,Java,Exception Handling,N/A,Theoretical,
12. Exceptions ,Exceptions,Tech,Java,Exception Handling,N/A,Theoretical,
13. Collection? ,Collection,Tech,Java,Data Structures,N/A,Theoretical,
"14. Different bw map,linked list,arraylist and hasmap and hastable ","Different between map, linked list, arraylist, hashmap, and hashtable",Tech,Java,Data Structures,N/A,Theoretical,
15 mysqlquerry? ,MySQL query,Tech,MySQL,Database,Querying,Code Based,
 Interface & abstract classes ,Interface & abstract classes,Tech,Java,Object-Oriented Programming,N/A,Theoretical,
What you get when you download JDK ,What you get when you download JDK,Tech,Java,JDK (Java Development Kit),N/A,Theoretical,
Multithreading  ,Multithreading,Tech,Java,Concurrency,Multithreading,Theoretical,
1)what is boiler plate code?  ,What is boilerplate code?,Tech,N/A,Software Development,Code Structure,Theoretical,
2)what is difference?b/w spring & spring booot ,What is the difference between Spring & Spring Boot?,Tech,Spring Framework,Frameworks,N/A,Theoretical,
3)what is properties of oops? ,What are the properties of OOP?,Tech,N/A,Object-Oriented Programming,N/A,Theoretical,
4) properties of multithreading? ,What are the properties of multithreading?,Tech,Java,Multithreading,N/A,Theoretical,
5) jdk consist of ... ,What does JDK consist of?,Tech,Java,Java Development Kit,N/A,Theoretical,
6) can we call constructor from one constructor ,Can we call a constructor from another constructor?,Tech,Java,Constructors,N/A,Theoretical,
7)super keyword (detail) ,"Explain the ""super"" keyword in detail.",Tech,Java,Inheritance,N/A,Theoretical,
8)this() ,"Explain ""this()"" in Java.",Tech,Java,Constructors,N/A,Theoretical,
9) is it possible to create static class ? ,Is it possible to create a static class?,Tech,Java,Classes,Static Classes,Theoretical,
10) what is use of static method? ,What is the use of a static method?,Tech,Java,Methods,Static Methods,Theoretical,
"11)define what is oops (not abstraction,inheritance.. Etc) ","Define what is OOP (excluding abstraction, inheritance, etc.).",Tech,N/A,Object-Oriented Programming,N/A,Theoretical,
12)hashmap vs arraylist ,hashmap vs arraylist,Tech,Java,Data Structures,"HashMap, ArrayList",Theoretical,
13) hashmap vs hastable ,hashmap vs hashtable,Tech,Java,Data Structures,"HashMap, HashTable",Theoretical,
14) thread life cycle ,thread life cycle,Tech,Java,Multithreading,Thread Life Cycle,Theoretical,
15)constractor vs method ,constructor vs method,Tech,Java,Object-Oriented,"Constructor, Method",Theoretical,
16)main class of exception ,main class of exception,Tech,Java,Exception Handling,Main Exception Class,Theoretical,
17) string vs string buffer vs builder? (where they store there objects memory location) ,string vs string buffer vs builder,Tech,Java,Strings,"String, StringBuffer, StringBuilder",Theoretical,
18)abstract vs interface ,abstract vs interface,Tech,Java,Object-Oriented,"Abstract Class, Interface",Theoretical,
19) reverse of string program (with string builder and string( orally)) ,reverse of string program,Tech,Java,Strings,String Reversal,Code Based,
20)why u choose java language? ,why you choose Java language?,HR,N/A,N/A,N/A,Theoretical,
21)can we overload main method if yes how?? ,"can we overload main method, if yes, how?",Tech,Java,Method Overloading,Main Method Overloading,Theoretical/Code Based,
Why do you use JAVA? ,Why do you use JAVA?,Tech,Java,Programming Language,N/A,Theoretical,
2. Technologies you have used in your project? ,Technologies you have used in your project?,Tech,Various,Project Technologies,N/A,Theoretical,
3. Why have you use Spring Boot? ,Why have you use Spring Boot?,Tech,Spring Boot,Framework,N/A,Theoretical,
4. What is the difference between constructor and methods in java? ,What is the difference between constructor and methods in java?,Tech,Java,Programming Language,Object-Oriented Programming (OOP),Theoretical,
5. What is HEAP and STACK memory? ,What is HEAP and STACK memory?,Tech,Memory Management,Computer Science,N/A,Theoretical,
6. What is the local variable and instance variable? ,What is the local variable and instance variable?,Tech,Java,Programming Language,Object-Oriented Programming (OOP),Theoretical,
7. What is an Object? ,What is an Object?,Tech,Programming Concept,Object-Oriented Programming (OOP),N/A,Theoretical,
8. What is Object Oriented Programming Language? ,What is Object Oriented Programming Language?,Tech,Programming Paradigm,Object-Oriented Programming (OOP),N/A,Theoretical,
9. What is the use of the Static key-word? ,What is the use of the Static key-word?,Tech,Java,Programming Language,N/A,Theoretical,
10. Can we write more than one catch block? ,Can we write more than one catch block?,Tech,Java,Exception Handling,N/A,Theoretical or Code Based,
11. What is finally block? ,What is finally block?,Tech,Java,Exception Handling,N/A,Theoretical,
12. If we write finally block then is it necessary that finally block will be executed? ,"If we write finally block, is it necessary that finally block will be executed?",Tech,Java,Exception Handling,N/A,Theoretical,
13. What is garbage collection in java? ,What is garbage collection in Java?,Tech,Java,Memory Management,N/A,Theoretical,
14. How can we implement garbage collection in java? ,How can we implement garbage collection in Java?,Tech,Java,Memory Management,N/A,Theoretical,
15. What is the difference between stringbuilder and String in terms of memory? ,What is the difference between StringBuilder and String in terms of memory?,Tech,Java,String Manipulation,N/A,Theoretical,
16. What are the annotations present in Spring Boot? ,What are the annotations present in Spring Boot?,Tech,Java/Spring Boot,Spring Boot,Annotations,Theoretical/Code,
17. Which annotation are we using for url? ,Which annotation are we using for URL?,Tech,Java/Spring Boot,Spring Boot,Annotations,Theoretical/Code,
18. Which java version do you have used? ,Which Java version do you have used?,Tech,Java,Programming Language,N/A,Theoretical,
19. What is multi-threading? ,What is multi-threading?,Tech,Java,Concurrency,N/A,Theoretical,
20. What are the components of Spring Boot Application? ,What are the components of Spring Boot Application?,Tech,Java/Spring Boot,Spring Boot,Components,Theoretical,
1.explain oops ,1. Explain OOPs,Tech,N/A,Object-Oriented Programming (OOP),N/A,Theoretical,
2.encapsulation ,2. Encapsulation,Tech,N/A,Object-Oriented Programming (OOP),N/A,Theoretical,
3.abstract classes and interfaces ,3. Abstract Classes and Interfaces,Tech,N/A,Object-Oriented Programming (OOP),N/A,Theoretical,
4.Diff between constructor and methods ,4. Diff between Constructor and Methods,Tech,N/A,Java,N/A,Theoretical,
5. Equals method and '==' operator ,5. Equals Method and '==' Operator,Tech,N/A,Java,N/A,Theoretical,
6.final variable/method/class ,6. Final Variable/Method/Class,Tech,N/A,Java,N/A,Theoretical,
7. What is class loader ,7. What is Class Loader,Tech,Java,Java Class Loading,N/A,Theoretical,
8.hashmap and hashtable ,8. HashMap and HashTable,Tech,Java,Data Structures,HashMap and HashTable,Theoretical,
9.hashmap and hashset ,9. HashMap and HashSet,Tech,Java,Data Structures,HashMap and HashSet,Theoretical,
10. How exception propagates?? ,10. How Exception Propagates?,Tech,N/A,Exception Handling,N/A,Theoretical,
11.why spring over springboot? ,Why Spring over Spring Boot?,Tech,Spring/Spring Boot,Framework Comparison,N/A,Theoretical,
12.?define-@springbootapplication annotation? ,Define @SpringBootApplication annotation,Tech,Spring Boot,Spring Boot Annotation,N/A,Theoretical,
13.is it mandatory to have catch block after try block? ,Is it mandatory to have a catch block after the try block?,Tech,Java,Exception Handling,N/A,Theoretical,
14.how to stop program before reaching?finally block--add system.exit(0) in try block ,How to stop the program before reaching finally block?,Tech,Java,Exception Handling,N/A,Code Based,
15.singleton in java and how is it achieved? ,Singleton in Java and how is it achieved?,Tech,Java,Design Patterns,Singleton,Theoretical,
1.multithreading--no in depth knowledge ,Multithreading - no in-depth knowledge,Tech,Java,Multithreading,N/A,Theoretical,
2.finalize method in java?--method of object class that is used to perform cleanup activity before?destroying any object ,Finalize method in Java? - Method of Object class for cleanup,Tech,Java,Object Class,N/A,Theoretical,
3.SQL query on groupby,SQL query on GROUP BY,Tech,SQL,Database Querying,GROUP BY,Code Based,
DUPLICATE ,Duplicate,N/A,N/A,N/A,N/A,N/A,
DE-NORMALISATION ,De-normalization,N/A,N/A,N/A,N/A,N/A,
DDL COMMANDS ,DDL COMMANDS,Tech,Database Management,Data Definition Language (DDL),N/A,Theoretical,
FIRST NORMALISATION ,FIRST NORMALISATION,Tech,Database Management,Database Normalization,First Normal Form (1NF),Theoretical,
Drop full delete ,Drop full delete,Tech,Database Management,SQL,DROP Command,Code Based,
INSERT SYNTAX  ,INSERT SYNTAX,Tech,Database Management,SQL,INSERT Statement,Code Based,
DML COMMANDS ,DML COMMANDS,Tech,Database Management,Data Manipulation Language (DML),N/A,Theoretical,
DROP DATABASE ,DROP DATABASE,Tech,Database Management,Database Operations,DROP DATABASE Command,Code Based,
WHAT IS SYNTAX TO CREATE DATABASE ,WHAT IS SYNTAX TO CREATE DATABASE,Tech,Database Management,Database Creation,CREATE DATABASE Syntax,Theoretical,
AFTER INSTALLATION 4 DATABASE GETS CREATE? CAN YOU EXPLAIN ANY DATABASE  ,AFTER INSTALLATION 4 DATABASE GETS CREATE? CAN YOU EXPLAIN ANY DATABASE,Tech,Database Management,Database Concepts,Installation and Database Creation,Theoretical,
WHAT IS TRIGGERED ,WHAT IS TRIGGERED,Tech,Database Management,Database Triggers,N/A,Theoretical,
STORE PROCEDURE ,STORE PROCEDURE,Tech,Database Management,Stored Procedures,N/A,Theoretical,
NON CLUSTER INDEX  ,NON CLUSTER INDEX,Tech,Database,Indexing,Cluster Index,Theoretical,
TYPES OF INDEXES  ,TYPES OF INDEXES,Tech,Database,Indexing,Index Types,Theoretical,
WHAT IS INDEX ,WHAT IS INDEX,Tech,Database,Indexing,Index Definition,Theoretical,
FRANGMENTATION ,FRANGMENTATION,Tech,Database,Performance Tuning,Fragmentation,Theoretical,
DATABASE ADMIN WHAT YOU KNOW ,DATABASE ADMIN WHAT YOU KNOW,Tech,Database,Administration,Database Admin,Theoretical,
HOW MANY JOINS IN SQL ,HOW MANY JOINS IN SQL,Tech,SQL,Joins,N/A,Theoretical,
HOW TO JOIN TWO TABLES WHAT IS SYNTAX ,HOW TO JOIN TWO TABLES WHAT IS SYNTAX,Tech,SQL,Joins,Join Syntax,Theoretical,
DO U HAVE IDEA ON BACKUPS  ,DO U HAVE IDEA ON BACKUPS,Tech,Database,Backup and Recovery,Backups,Theoretical,
WHAT IS VIEW  ,WHAT IS VIEW,Tech,Database,Views,View Definition,Theoretical,
WHAT IS USE OF ‘VIEW’ ,WHAT IS USE OF ‘VIEW’,Tech,Database,Views,View Purpose,Theoretical,
What is difference between mysql & sql  ,What is the difference between MySQL & SQL?,Tech,Database,SQL Concepts,N/A,Theoretical,
What is normalization  ,What is normalization?,Tech,Database,Database Design,Normalization,Theoretical,
Have you install SQL  ,Have you installed SQL?,Tech,Database,SQL Installation,N/A,Theoretical,
What is TRIGGERED  ,What is TRIGGERED?,Tech,Database,SQL Triggers,N/A,Theoretical,
Trunket & delete ,Trunket & delete,Tech,Database,SQL Operations,"Truncate, Delete",Theoretical,
DCL COMMAND  ,DCL COMMAND,Tech,Database,SQL Security,DCL (Data Control Language),Theoretical,
HOW MANY AUTHOTICATION MODE  ,HOW MANY AUTHENTICATION MODE?,Tech,Database,SQL Server Security,Authentication Modes,Theoretical,
AFTER INSTALLATION SQL SERVER WHAT DATABASE WE CREATE  ,"AFTER INSTALLATION SQL SERVER, WHAT DATABASE DO WE CREATE?",Tech,Database,SQL Server Configuration,Database Creation,Theoretical,
WANT TO JOIN TWO TABLE WHAT IS SYNTAX  ,"WANT TO JOIN TWO TABLES, WHAT IS THE SYNTAX?",Tech,Database,SQL Queries,Joins,Theoretical,
WHT IS THE SYNTAX FOR DELETE ,WHAT IS THE SYNTAX FOR DELETE?,Tech,Database,SQL Operations,Delete,Theoretical,
TYPES OF BACKUP  ,TYPES OF BACKUP,Tech,Database,Backup and Recovery,N/A,Theoretical,
CLUSTER & NON CLUSTER INDEX  ,CLUSTER & NON CLUSTER INDEX,Tech,Database,Indexing,N/A,Theoretical,
DDL COMMANDS  ,DDL COMMANDS,Tech,Database,Data Definition Language,N/A,Theoretical,
DML COMMANDS ,DML COMMANDS,Tech,Database,Data Manipulation Language,N/A,Theoretical,
TYPES OF DATABASE ,TYPES OF DATABASE,Tech,Database,Database Management Systems,N/A,Theoretical,
WHAT IS MASTER DATABASE ,WHAT IS MASTER DATABASE,Tech,Database,SQL Server,N/A,Theoretical,
RECOVERY MODEL ,RECOVERY MODEL,Tech,Database,Backup and Recovery,N/A,Theoretical,
HOW TO CREATE LOG IN SQL SERVER ,HOW TO CREATE LOG IN SQL SERVER,Tech,Database,SQL Server,N/A,Code Based,
WHAT IS HOST NAME ,WHAT IS HOST NAME,Non-Tech,Networking,Network Basics,N/A,Theoretical,
HOW TO CREAT USER – WHAT IS SYNTAX ,HOW TO CREATE USER – WHAT IS SYNTAX,Tech,Database,User Management,Syntax,Code Based,
WHAT IS FRAGMANTATION ,WHAT IS FRAGMENTATION,Tech,Database,Database Management,N/A,Theoretical,
WHAT IS PRIMARY KEY ,WHAT IS PRIMARY KEY,Tech,Database,Database Management,N/A,Theoretical,
WHAT IS UNIQUE KEY ,WHAT IS UNIQUE KEY,Tech,Database,Database Management,N/A,Theoretical,
DIFFERENCE BETWEEN PRIMARY KEY & UNIQUE KEY ,DIFFERENCE BETWEEN PRIMARY KEY & UNIQUE KEY,Tech,Database,Database Management,N/A,Theoretical,
Tell about yourself ,Tell about yourself,Non-Tech,N/A,N/A,N/A,HR,
Explain the project ,Explain the project,Non-Tech,N/A,N/A,N/A,HR,
3) what is multithreading ,what is multithreading,Tech,Programming,Concurrency,N/A,Theoretical,
4) Difference b/w clone and copy ,Difference b/w clone and copy,Tech,Programming,Object-Oriented,N/A,Theoretical,
5) Explain about IS-A and Has-A relationship with examples ,Explain about IS-A and Has-A relationship,Tech,Programming,Object-Oriented,N/A,Theoretical,
6) why char arrays are used instead of strings ,why char arrays are used instead of strings,Tech,Programming,Strings,N/A,Theoretical,
7) what is a Rest controller ,What is a Rest controller?,Tech,"Java, Spring",Web Development,RESTful Services,Theoretical,
8) What are Wrapper classes ,What are Wrapper classes?,Tech,Java,Programming Fundamentals,Data Types,Theoretical,
9) Difference b/w list and set ,Difference between list and set,Tech,Data Structures,Collections,List and Set,Theoretical,
10) Diff b/w hash map and Hash Set ,Diff b/w hash map and Hash Set,Tech,"Java, Data Structures",Collections,HashMap and HashSet,Theoretical,
11) comparable vs comparator ,Comparable vs Comparator,Tech,Java,Programming Fundamentals,Object Comparison,Theoretical,
12) what are Annotations ,What are Annotations?,Tech,Java,Programming Fundamentals,Annotations,Theoretical,
13) Spring Boot Actuator ,Spring Boot Actuator,Tech,"Java, Spring Boot",Frameworks,Spring Boot Actuator,Theoretical,
14) Spring Boot Initialzr ,Spring Boot Initialzr,Tech,"Java, Spring Boot",Frameworks,Spring Boot Initializer,Theoretical,
15) Difference b/w spring and spring boot ,Difference between spring and spring boot,Tech,"Java, Spring",Frameworks,Spring vs. Spring Boot,Theoretical,
16) How to rename a table ,How to rename a table,Tech,Database,SQL,Table Renaming,Theoretical,
17) what is diff b/w delete and truncating ,What is the difference between delete and truncating?,Tech,Database,SQL,N/A,Theoretical,
18) write a query to find the second highest salary of an employee ,Write a query to find the second highest salary of an employee,Tech,Database,SQL,N/A,Code Based,
19) diff b/w javascript and typescript ,What is the difference between JavaScript and TypeScript?,Tech,Web Development,Programming Languages,N/A,Theoretical,
20) write a program to reverse a string without using stringbuilder ,Write a program to reverse a string without using StringBuilder,Tech,Programming,String Manipulation,N/A,Code Based,
21) Find the number of occurrences of an element in an array ,Find the number of occurrences of an element in an array,Tech,Programming,Arrays,N/A,Code Based,
 Why have to chosen IT having ECE background? ,Why have you chosen IT with an ECE background?,HR,N/A,Career Choice,N/A,Theoretical,
Explain jukebox ,Explain jukebox,Non-Tech,N/A,General Knowledge,N/A,Theoretical,
Mongo db query ,MongoDB query,Tech,Database,NoSQL,N/A,Code Based,
Can mongo db hold large data? ,Can MongoDB hold large data?,Tech,Database,NoSQL,N/A,Theoretical,
What is a row in document like in mysql ,What is a row in a document like in MySQL?,Tech,Database,Relational Databases,N/A,Theoretical,
What is bootstrap? ,What is bootstrap?,Tech,Web Development,Front-end Framework,N/A,Theoretical,
What is external bootstrap? ,What is external bootstrap?,Tech,Web Development,Front-end Framework,N/A,Theoretical,
How do u get an element in dom? ,How do u get an element in dom?,Tech,Web Development,DOM Manipulation,N/A,Code Based,
Where do u use href tag in whick element? ,Where do u use href tag in which element?,Tech,Web Development,HTML,N/A,Theoretical,
Opens the linked document in the same frame as it was clicked:ans self ,Opens the linked document in the same frame as it was clicked:ans self,Tech,Web Development,HTML,N/A,Theoretical,
What is header tag? ,What is header tag?,Tech,Web Development,HTML,N/A,Theoretical,
Waht is css? ,What is CSS?,Tech,Web Development,Cascading Style Sheets,N/A,Theoretical,
Types of css ,Types of CSS,Tech,Web Development,Cascading Style Sheets,N/A,Theoretical,
What is inline? ,What is inline?,Tech,Web Development,CSS,N/A,Theoretical,
What is external css ,What is external CSS?,Tech,Web Development,CSS,N/A,Theoretical,
Root tag? ,Root tag?,Tech,HTML/XML,Markup Languages,"XML, HTML",Theoretical,
Microservices ,Microservices,Tech,Software Development,Architecture,Microservices,Theoretical,
What is pcb fabrication? ,What is PCB fabrication?,Tech,Electronics,PCB Design,N/A,Theoretical,
Why do u use bootstrap? ,Why do you use Bootstrap?,Tech,Web Development,Front-end Framework,Bootstrap,Theoretical,
Program for fibanochi ,Program for Fibonacci,Tech,Programming,Algorithms,Fibonacci,Code Based,
What is palindrom ,What is palindrome?,Tech,Programming,Strings,Palindrome,Theoretical,
Some 4 to 5 aptitude questions based on sequence and larger numbers ,4 to 5 aptitude questions,Non-Tech,N/A,Aptitude,Sequences,Theoretical,
Why have to chosen IT having ECE background? ,Why have you chosen IT with ECE background?,HR,N/A,Career Choice,N/A,Theoretical,
Explain jukebox ,Explain Jukebox,Tech,Software Development,Systems Design,Jukebox,Theoretical,
Mongo db query ,MongoDB query,Tech,Database,NoSQL Databases,MongoDB Queries,Code Based,
Can mongo db hold large data? ,Can MongoDB hold large data?,Tech,MongoDB,Database,N/A,Theoretical,
What is a row in document like in mysql ,What is a row in a document like in MySQL?,Tech,MySQL,Database,N/A,Theoretical,
What is bootstrap? ,What is Bootstrap?,Tech,Bootstrap,Frontend Framework,N/A,Theoretical,
What is external bootstrap? ,What is external Bootstrap?,Tech,Bootstrap,Frontend Framework,N/A,Theoretical,
How do u get an element in dom? ,How do you get an element in DOM?,Tech,"HTML, JavaScript",Web Development,DOM,Code Based,
Where do u use href tag in whick element? ,Where do you use the href tag in which element?,Tech,HTML,Web Development,N/A,Theoretical,
Opens the linked document in the same frame as it was clicked:ans self ,Opens the linked document in the same frame as it was clicked: ans self,Tech,HTML,Web Development,N/A,Theoretical,
What is header tag? ,What is the header tag?,Tech,HTML,Web Development,N/A,Theoretical,
Waht is css? ,What is CSS?,Tech,CSS,Styling,N/A,Theoretical,
Types of css ,Types of CSS,Tech,CSS,Styling,N/A,Theoretical,
What is inline? ,What is inline,Tech,Web Development,HTML/CSS,N/A,Theoretical,
What is external css ,What is external css,Tech,Web Development,CSS,N/A,Theoretical,
Root tag? ,Root tag?,Tech,Web Development,HTML,N/A,Theoretical,
