Platform,Course Name,Overview,What You'll Learn,Level,Pre-requisites Required,Module #,Module,Video Title,Duration (mins)
,,,,,,,,What are Amazon Honeycode Wizards,4
,,,,,,,,Navigate the Amazon Honeycode Builder and Its Interface,7
,,,,,,,,Learn Amazon Honeycode Builder and Live App,8
,,,,,,,,Discuss Honeycode Objects and Its Categories,4
,,,,,,,,Insert an Object into Live App,5
,,,,,,,,User Interactions by Setting up Honeycode Automations,8
,,,,,,,,Features and Benefits of Honeycode Automation,3
,,,,,,,,Working of Honeycode Automations,5
,,,,,,,,Collaborate in Amazon Honeycode,10
,,,,,,,,What are Various Methods for Collaborating in Amazon Honeycode,4
,,,,,,,,Teams in Amazon Honeycode,4
,,,,,,,,Key Factors for Successful Development in Amazon Honeycode,5
,,,,,,,,Project Description,5
,,,,,,,,Workbook Creation,5
,,,,,,,,Creating Picklist,5
,,,,,,,,Adding Records in Database Tables,4
,,,,,,,,Application Creation Using Builder,6
,,,,,,,,Adding Automation,7
,,,,,,,,Team Collaboration,7
,,,,,,,,Pending Approval,9
,,,,,,,,Testing Approval Application,7
,,,,,,,Readings,Course Overview,5
,,,,,,,,How to Use Discussion Forums,4
,,,,,,,,Enhancing Data Presentation and Visualization with Effective Formatting,10
,,,,,,,,Conditions in Honeycode Automations,10
,,,,,,,,Practice Project: Streamlined Inventory Management System Using Amazon Honeycode,10
,,,,,,,,Summary,7
,,,,,,,Assignments,Knowledge Check: Introduction to Amazon Honeycode,5
,,,,,,,,Knowledge Check: Design Tables in Amazon Honeycode,5
,,,,,,,,Knowledge Check: Examine Amazon Honeycode Builder,5
,,,,,,,,Knowledge Check: Examine Amazon Honeycode Automations,5
,,,,,,,,Knowledge Check: Teamwork and Collaborate in Honeycode,5
,,,,,,,,End Course Knowledge Check,20
,,,,,,,Discussion Prompts,Share an Example of a Creative or Innovative Use of the Honeycode Workbook That Showcases Its Flexibility,5
,,,,,,,,How Do Amazon Honeycode's Wizards Enhance the User Experience When Working on Tasks Such as Table Creation and Configuring Column Formats?,5
,,,,,,,,What Are the Customization Options Available for Honeycode Objects When Building Apps Through the Amazon Honeycode Builder?,5
,,,,,,,,What Are the Potential Challenges or Limitations One Might Encounter When Setting Up Complex Automations in Honeycode?,5
,,,,,,,,Are There Any Limitations or Constraints in Amazon Honeycode That Might Impact the Extent of Collaboration or the Size of Development Teams?,5
Udemy,Mendix : Low-code Application Development Course,,• Students will learn how to develope low code applications with Mendix.,"Who this course is for:
• Software Engineers
• IT employees who wants to learn mendix.","• Object Oriented Programming Concepts
• HTML
• CSS",1,Introduction,,24
,,,,,,2,Creating Sales Management Pages,,6
,,,,,,3,Domain Model,,24
,,,,,,4,Creating Edit Pages & Generating Data,,30
,,,,,,5,Mobile Applications,,47
,,,,,,6,Microflows,,95
,,,,,,7,XPATH,,13
,,,,,,8,Security,,48
,,,,,,9,Advanced Domain Model,,27
,,,,,,10,Java Actions,,23
,,,,,,11,Asynchronous Microflows,,7
,,,,,,12,Consuming REST Services,,30
,,,,,,13,Appstore - Custom Widgets,,10
,,,,,,14,Adjusting User Interface and Final,,3
,,,,,,15,Bonus Section,,1
Udemy,Citizen Developers of Low-Code / No-Code,,• Citizen Developers of Low-Code / No-Code will obtain the necessary base knowledge they need for success. True you do not need to know what a developer knows but you do need to know about the concepts they use,This is especially designed for beginners and intermediate users considering Citizen Development of Low-Code / No-Code systems,None,1,Data Types,Beginners and intermediate users considering Citizen Development of Low-Code / No-Code systems,100
,,,,,,2,Variables,,
,,,,,,3,Functions Simplified Explanation,,
,,,,,,4,Looping/iteration,,
,,,,,,5,Conditions / Branching/ Decision Tree Logic,,
,,,,,,6,Concept of persistent / non-persistent storage,,
,,,,,,7,Collections / Arrays / Dictionaries,,
,,,,,,8,Functions advanced,,
,,,,,,9,JSON,,
,,,,,,10,OOP Concepts,,
